Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
spill_SC,566,10,5242880,524288,7,500
spill_SC,569,10,5242880,524288,7,500
spill_SC,535,10,5242880,524288,7,500
spill_SC,556,10,5242880,524288,7,500
spill_SC,511,10,5242880,524288,7,500
spill_SC,583,10,5242880,524288,7,500
spill_SC,528,10,5242880,524288,7,500
spill_SC,561,10,5242880,524288,7,500
spill_SC,784,20,5242880,1048576,7,500
spill_SC,802,20,5242880,1048576,7,500
spill_SC,772,20,5242880,1048576,7,500
spill_SC,778,20,5242880,1048576,7,500
spill_SC,854,20,5242880,1048576,7,500
spill_SC,784,20,5242880,1048576,7,500
spill_SC,771,20,5242880,1048576,7,500
spill_SC,782,20,5242880,1048576,7,500
spill_SC,1050,30,5242880,1572864,7,500
spill_SC,1011,30,5242880,1572864,7,500
spill_SC,1012,30,5242880,1572864,7,500
spill_SC,1018,30,5242880,1572864,7,500
spill_SC,1031,30,5242880,1572864,7,500
spill_SC,1049,30,5242880,1572864,7,500
spill_SC,1035,30,5242880,1572864,7,500
spill_SC,991,30,5242880,1572864,7,500
spill_SC,1285,40,5242880,2097152,7,500
spill_SC,1312,40,5242880,2097152,7,500
spill_SC,1263,40,5242880,2097152,7,500
spill_SC,1212,40,5242880,2097152,7,500
spill_SC,1297,40,5242880,2097152,7,500
spill_SC,1257,40,5242880,2097152,7,500
spill_SC,1240,40,5242880,2097152,7,500
spill_SC,1294,40,5242880,2097152,7,500
spill_SC,1486,50,5242880,2621440,7,500
spill_SC,1629,50,5242880,2621440,7,500
spill_SC,1555,50,5242880,2621440,7,500
spill_SC,1526,50,5242880,2621440,7,500
spill_SC,1589,50,5242880,2621440,7,500
spill_SC,1547,50,5242880,2621440,7,500
spill_SC,1549,50,5242880,2621440,7,500
spill_SC,1496,50,5242880,2621440,7,500
spill_SC,1770,60,5242880,3145728,7,500
spill_SC,1775,60,5242880,3145728,7,500
spill_SC,1827,60,5242880,3145728,7,500
spill_SC,1915,60,5242880,3145728,7,500
spill_SC,1781,60,5242880,3145728,7,500
spill_SC,1887,60,5242880,3145728,7,500
spill_SC,1776,60,5242880,3145728,7,500
spill_SC,1793,60,5242880,3145728,7,500
spill_SC,2093,70,5242880,3670016,7,500
spill_SC,2062,70,5242880,3670016,7,500
spill_SC,2041,70,5242880,3670016,7,500
spill_SC,2037,70,5242880,3670016,7,500
spill_SC,2067,70,5242880,3670016,7,500
spill_SC,2080,70,5242880,3670016,7,500
spill_SC,2164,70,5242880,3670016,7,500
spill_SC,2076,70,5242880,3670016,7,500
spill_SC,2376,80,5242880,4194304,7,500
spill_SC,2423,80,5242880,4194304,7,500
spill_SC,2272,80,5242880,4194304,7,500
spill_SC,2396,80,5242880,4194304,7,500
spill_SC,2301,80,5242880,4194304,7,500
spill_SC,2398,80,5242880,4194304,7,500
spill_SC,2275,80,5242880,4194304,7,500
